"","Year","Country","Number of Significant Volcanic Eruptions","Number of Significant Earthquakes"
"419",1996,"Nicaragua",1,0
"420",1996,"North Korea",0,0
"421",1996,"Pacific Ocean",0,0
"422",1996,"Papua New Guinea",1,0
"423",1996,"Peru",0,2
"424",1996,"Philippines",1,0
"425",1996,"Portugal",0,0
"426",1996,"Russia",1,0
"427",1996,"Saint Vincent and the Grenadines",0,0
"428",1996,"Samoa",0,0
"429",1996,"Saudi Arabia",0,0
"430",1996,"Solomon Islands",0,1
"431",1996,"Spain",0,0
"432",1996,"Taiwan",0,1
"433",1996,"Tanzania",0,0
"434",1996,"Tonga",0,0
"435",1996,"Trinidad and Tobago",0,0
"436",1996,"Turkey",0,0
"437",1996,"United States",0,2
"438",1996,"Vanuatu",0,0
"439",1996,"World",6,19
"440",1996,"Yemen",0,0
"441",1997,"Antarctica",0,0
"442",1997,"Cameroon",0,0
"443",1997,"Canada",0,0
"444",1997,"Chile",0,1
"445",1997,"China",0,6
"446",1997,"Colombia",0,0
"447",1997,"Costa Rica",0,0
"448",1997,"Ecuador",0,0
"449",1997,"El Salvador",0,0
"450",1997,"Eritrea",0,0
"451",1997,"Ethiopia",0,0
"452",1997,"Greece",0,1
"453",1997,"Guadeloupe",0,0
"454",1997,"Guatemala",0,0
"455",1997,"Iceland",0,0
"456",1997,"Indonesia",3,3
"457",1997,"Italy",0,2
"458",1997,"Japan",3,2
"459",1997,"Martinique",0,0
"460",1997,"Mexico",0,1
"461",1997,"Montserrat",3,0
"462",1997,"New Zealand",0,0
"463",1997,"Nicaragua",0,0
"464",1997,"North Korea",0,0
"465",1997,"Pacific Ocean",0,0
"466",1997,"Papua New Guinea",0,0
"467",1997,"Peru",0,0
"468",1997,"Philippines",0,0
"469",1997,"Portugal",0,0
"470",1997,"Russia",0,1
"471",1997,"Saint Vincent and the Grenadines",0,0
"472",1997,"Samoa",0,0
"473",1997,"Saudi Arabia",0,0
"474",1997,"Solomon Islands",0,1
"475",1997,"Spain",0,0
"476",1997,"Taiwan",0,0
"477",1997,"Tanzania",0,0
"478",1997,"Tonga",0,1
"479",1997,"Trinidad and Tobago",0,1
"480",1997,"Turkey",0,0
"481",1997,"United States",0,0
"482",1997,"Vanuatu",0,0
"483",1997,"World",9,34
"484",1997,"Yemen",0,0
"485",1998,"Antarctica",0,1
"486",1998,"Cameroon",0,0
"487",1998,"Canada",0,0
"488",1998,"Chile",0,0
"489",1998,"China",0,6
"490",1998,"Colombia",0,0
"491",1998,"Costa Rica",0,0
"492",1998,"Ecuador",0,1
"493",1998,"El Salvador",0,0
"494",1998,"Eritrea",0,0
"495",1998,"Ethiopia",0,0
"496",1998,"Greece",0,0
"497",1998,"Guadeloupe",0,0
"498",1998,"Guatemala",0,1
"499",1998,"Iceland",0,0
"500",1998,"Indonesia",1,2
"501",1998,"Italy",0,1
"502",1998,"Japan",0,0
"503",1998,"Martinique",0,0
"504",1998,"Mexico",0,1
"505",1998,"Montserrat",0,0
"506",1998,"New Zealand",0,0
"507",1998,"Nicaragua",1,0
"508",1998,"North Korea",0,0
"509",1998,"Pacific Ocean",0,0
"510",1998,"Papua New Guinea",0,1
"511",1998,"Peru",0,0
"512",1998,"Philippines",0,0
"513",1998,"Portugal",0,0
"514",1998,"Russia",0,0
"515",1998,"Saint Vincent and the Grenadines",0,0
"516",1998,"Samoa",0,0
"517",1998,"Saudi Arabia",0,0
"518",1998,"Solomon Islands",0,0
"519",1998,"Spain",0,0
"520",1998,"Taiwan",0,2
"521",1998,"Tanzania",0,0
"522",1998,"Tonga",0,0
"523",1998,"Trinidad and Tobago",0,0
"524",1998,"Turkey",0,1
"525",1998,"United States",1,0
"526",1998,"Vanuatu",0,0
"527",1998,"World",3,30
"528",1998,"Yemen",0,0
"529",1999,"Antarctica",0,0
"530",1999,"Cameroon",0,0
"531",1999,"Canada",0,0
"532",1999,"Chile",0,0
"533",1999,"China",0,4
"534",1999,"Colombia",0,1
"535",1999,"Costa Rica",0,0
"536",1999,"Ecuador",2,0
"537",1999,"El Salvador",0,0
"538",1999,"Eritrea",0,0
"539",1999,"Ethiopia",0,0
"540",1999,"Greece",0,1
"541",1999,"Guadeloupe",0,0
"542",1999,"Guatemala",1,1
"543",1999,"Iceland",0,0
"544",1999,"Indonesia",0,1
"545",1999,"Italy",0,0
"546",1999,"Japan",0,0
"547",1999,"Martinique",0,0
"548",1999,"Mexico",0,3
"549",1999,"Montserrat",1,0
"550",1999,"New Zealand",0,0
"551",1999,"Nicaragua",0,0
"552",1999,"North Korea",0,0
"553",1999,"Pacific Ocean",0,0
"554",1999,"Papua New Guinea",0,0
"555",1999,"Peru",0,2
"556",1999,"Philippines",0,1
"557",1999,"Portugal",0,0
"558",1999,"Russia",1,1
"559",1999,"Saint Vincent and the Grenadines",0,0
"560",1999,"Samoa",0,0
"561",1999,"Saudi Arabia",0,0
"562",1999,"Solomon Islands",0,0
"563",1999,"Spain",0,1
"564",1999,"Taiwan",0,3
"565",1999,"Tanzania",0,0
"566",1999,"Tonga",0,0
"567",1999,"Trinidad and Tobago",0,0
"568",1999,"Turkey",0,6
"569",1999,"United States",0,1
"570",1999,"Vanuatu",0,1
"571",1999,"World",5,35
"572",1999,"Yemen",0,0
"573",2000,"Antarctica",0,0
"574",2000,"Cameroon",0,0
"575",2000,"Canada",0,0
"576",2000,"Chile",0,0
"577",2000,"China",0,4
"578",2000,"Colombia",0,0
"579",2000,"Costa Rica",1,0
"580",2000,"Ecuador",0,0
"581",2000,"El Salvador",0,0
"582",2000,"Eritrea",0,0
"583",2000,"Ethiopia",0,0
"584",2000,"Greece",0,1
"585",2000,"Guadeloupe",0,0
"586",2000,"Guatemala",0,0
"587",2000,"Iceland",0,2
"588",2000,"Indonesia",2,4
"589",2000,"Italy",0,0
"590",2000,"Japan",1,5
"591",2000,"Martinique",0,0
"592",2000,"Mexico",0,0
"593",2000,"Montserrat",0,0
"594",2000,"New Zealand",0,0
"595",2000,"Nicaragua",0,1
"596",2000,"North Korea",0,0
"597",2000,"Pacific Ocean",0,0
"598",2000,"Papua New Guinea",0,3
"599",2000,"Peru",0,0
"600",2000,"Philippines",0,1
"601",2000,"Portugal",0,0
"602",2000,"Russia",0,1
"603",2000,"Saint Vincent and the Grenadines",0,0
"604",2000,"Samoa",0,0
"605",2000,"Saudi Arabia",0,0
"606",2000,"Solomon Islands",0,0
"607",2000,"Spain",0,0
"608",2000,"Taiwan",0,2
"609",2000,"Tanzania",0,1
"610",2000,"Tonga",0,0
"611",2000,"Trinidad and Tobago",0,0
"612",2000,"Turkey",0,3
"613",2000,"United States",1,1
"614",2000,"Vanuatu",0,0
"615",2000,"World",5,37
"616",2000,"Yemen",0,0
"617",2001,"Antarctica",0,0
"618",2001,"Cameroon",0,0
"619",2001,"Canada",0,1
"620",2001,"Chile",0,0
"621",2001,"China",0,5
"622",2001,"Colombia",0,0
"623",2001,"Costa Rica",0,0
"624",2001,"Ecuador",0,0
"625",2001,"El Salvador",0,3
"626",2001,"Eritrea",0,0
"627",2001,"Ethiopia",0,0
"628",2001,"Greece",0,1
"629",2001,"Guadeloupe",0,0
"630",2001,"Guatemala",0,0
"631",2001,"Iceland",0,0
"632",2001,"Indonesia",1,1
"633",2001,"Italy",3,0
"634",2001,"Japan",0,1
"635",2001,"Martinique",0,0
"636",2001,"Mexico",0,0
"637",2001,"Montserrat",0,0
"638",2001,"New Zealand",0,0
"639",2001,"Nicaragua",0,0
"640",2001,"North Korea",0,0
"641",2001,"Pacific Ocean",0,0
"642",2001,"Papua New Guinea",0,0
"643",2001,"Peru",0,4
"644",2001,"Philippines",0,1
"645",2001,"Portugal",0,0
"646",2001,"Russia",0,0
"647",2001,"Saint Vincent and the Grenadines",0,0
"648",2001,"Samoa",0,0
"649",2001,"Saudi Arabia",0,0
"650",2001,"Solomon Islands",0,0
"651",2001,"Spain",0,0
"652",2001,"Taiwan",0,1
"653",2001,"Tanzania",0,0
"654",2001,"Tonga",0,0
"655",2001,"Trinidad and Tobago",0,0
"656",2001,"Turkey",0,1
"657",2001,"United States",0,2
"658",2001,"Vanuatu",0,0
"659",2001,"World",4,25
"660",2001,"Yemen",0,0
"661",2002,"Antarctica",0,0
"662",2002,"Cameroon",0,0
"663",2002,"Canada",0,0
"664",2002,"Chile",0,3
"665",2002,"China",0,3
"666",2002,"Colombia",0,0
"667",2002,"Costa Rica",0,0
"668",2002,"Ecuador",1,0
"669",2002,"El Salvador",0,0
"670",2002,"Eritrea",0,0
"671",2002,"Ethiopia",0,0
"672",2002,"Greece",0,1
"673",2002,"Guadeloupe",0,0
"674",2002,"Guatemala",0,0
"675",2002,"Iceland",0,0
"676",2002,"Indonesia",2,4
"677",2002,"Italy",2,3
"678",2002,"Japan",0,1
"679",2002,"Martinique",0,0
"680",2002,"Mexico",0,3
"681",2002,"Montserrat",0,0
"682",2002,"New Zealand",0,0
"683",2002,"Nicaragua",0,0
"684",2002,"North Korea",0,0
"685",2002,"Pacific Ocean",0,0
"686",2002,"Papua New Guinea",0,2
"687",2002,"Peru",0,0
"688",2002,"Philippines",0,1
"689",2002,"Portugal",0,0
"690",2002,"Russia",0,0
"691",2002,"Saint Vincent and the Grenadines",0,0
"692",2002,"Samoa",0,0
"693",2002,"Saudi Arabia",0,0
"694",2002,"Solomon Islands",0,0
"695",2002,"Spain",0,0
"696",2002,"Taiwan",0,1
"697",2002,"Tanzania",0,1
"698",2002,"Tonga",0,0
"699",2002,"Trinidad and Tobago",0,0
"700",2002,"Turkey",0,1
"701",2002,"United States",0,3
